Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
A,LONG,sp500_genel,50.0,5573,984,0,0,3390,2183,60.8,0.0,0.0,0.0,63.0,0,0,659,325,67.0,0.0,0.0,0.0,36.0,Bilinmiyor
A,SHORT,sp500_genel,50.0,5573,984,337,612,3320,1304,65.6,35.5,20.5,26.0,60.7,305,577,78,24,38.9,34.6,92.7,50.4,68.4,Bilinmiyor
AAPL,LONG,sp500_genel,50.0,5573,984,0,0,3205,2368,57.5,0.0,0.0,0.0,69.0,0,0,601,383,61.1,0.0,0.0,0.0,49.6,Bilinmiyor
AAPL,SHORT,sp500_genel,50.0,5573,984,350,780,3379,1064,66.9,31.0,24.8,27.5,62.0,236,666,74,8,31.5,26.2,96.7,41.2,67.6,Bilinmiyor
ABBV,LONG,sp500_genel,50.0,2794,494,0,0,1700,1094,60.8,0.0,0.0,0.0,54.6,0,0,328,166,66.4,0.0,0.0,0.0,40.4,Bilinmiyor
ABBV,SHORT,sp500_genel,50.0,2794,494,282,658,1343,511,58.2,30.0,35.6,32.5,42.2,103,330,47,14,30.4,23.8,88.0,37.5,39.3,Bilinmiyor
ABNB,LONG,sp500_genel,50.0,1094,194,0,0,706,388,64.5,0.0,0.0,0.0,31.7,0,0,149,45,76.8,0.0,0.0,0.0,22.2,Bilinmiyor
ABNB,SHORT,sp500_genel,50.0,1094,194,184,518,284,108,42.8,26.2,63.0,37.0,61.0,36,103,44,11,41.2,25.9,76.6,38.7,59.6,Bilinmiyor
ABT,LONG,sp500_genel,50.0,5573,984,0,0,3542,2031,63.6,0.0,0.0,0.0,54.7,0,0,658,326,66.9,0.0,0.0,0.0,51.5,Bilinmiyor
ABT,SHORT,sp500_genel,50.0,5573,984,452,826,3240,1055,66.2,35.4,30.0,32.5,39.0,288,630,39,27,33.2,31.4,91.4,46.7,53.3,Bilinmiyor
ACGL,LONG,sp500_genel,50.0,5573,984,0,0,3617,1956,64.9,0.0,0.0,0.0,60.2,0,0,583,401,59.2,0.0,0.0,0.0,49.6,Bilinmiyor
ACGL,SHORT,sp500_genel,50.0,5573,984,315,1027,3110,1121,61.5,23.5,21.9,22.7,28.6,226,720,33,5,26.3,23.9,97.8,38.4,58.9,Bilinmiyor
ACN,LONG,sp500_genel,50.0,5242,926,0,0,3189,2053,60.8,0.0,0.0,0.0,60.0,0,0,651,275,70.3,0.0,0.0,0.0,47.6,Bilinmiyor
ACN,SHORT,sp500_genel,50.0,5242,926,258,658,3256,1070,67.0,28.2,19.4,23.0,53.5,287,501,86,52,40.3,36.4,84.7,50.9,59.0,Bilinmiyor
ADBE,LONG,sp500_genel,50.0,5573,984,0,0,3563,2010,63.9,0.0,0.0,0.0,63.3,0,0,679,305,69.0,0.0,0.0,0.0,50.5,Bilinmiyor
ADBE,SHORT,sp500_genel,50.0,5573,984,255,653,3575,1090,68.7,28.1,19.0,22.6,68.5,285,575,92,32,38.3,33.1,89.9,48.4,53.3,Bilinmiyor
ADI,LONG,sp500_genel,50.0,5573,984,0,0,3871,1702,69.5,0.0,0.0,0.0,65.6,0,0,621,363,63.1,0.0,0.0,0.0,39.7,Bilinmiyor
ADI,SHORT,sp500_genel,50.0,5573,984,251,528,3541,1253,68.0,32.2,16.7,22.0,67.2,249,665,60,10,31.4,27.2,96.1,42.5,63.3,Bilinmiyor
ADM,LONG,sp500_genel,50.0,5573,984,0,0,3526,2047,63.3,0.0,0.0,0.0,58.4,0,0,683,301,69.4,0.0,0.0,0.0,34.2,Bilinmiyor
ADM,SHORT,sp500_genel,50.0,5573,984,398,860,3191,1124,64.4,31.6,26.1,28.6,43.3,300,649,29,6,33.4,31.6,98.0,47.8,64.1,Bilinmiyor
ADP,LONG,sp500_genel,50.0,5573,984,0,0,3563,2010,63.9,0.0,0.0,0.0,58.2,0,0,656,328,66.7,0.0,0.0,0.0,45.4,Bilinmiyor
ADP,SHORT,sp500_genel,50.0,5573,984,450,926,3123,1074,64.1,32.7,29.5,31.0,42.3,271,636,48,29,32.4,29.9,90.3,44.9,51.3,Bilinmiyor
ADSK,LONG,sp500_genel,50.0,5573,984,0,0,3547,2026,63.6,0.0,0.0,0.0,58.6,0,0,651,333,66.2,0.0,0.0,0.0,46.8,Bilinmiyor
ADSK,SHORT,sp500_genel,50.0,5573,984,253,683,3384,1253,65.3,27.0,16.8,20.7,57.6,258,618,69,39,33.2,29.5,86.9,44.0,61.6,Bilinmiyor
AEE,LONG,sp500_genel,50.0,5573,984,0,0,3424,2149,61.4,0.0,0.0,0.0,53.6,0,0,613,371,62.3,0.0,0.0,0.0,30.5,Bilinmiyor
AEE,SHORT,sp500_genel,50.0,5573,984,367,999,3168,1039,63.4,26.9,26.1,26.5,36.1,242,717,25,0,27.1,25.2,100.0,40.3,58.7,Bilinmiyor
AEP,LONG,sp500_genel,50.0,5573,984,0,0,3407,2166,61.1,0.0,0.0,0.0,56.5,0,0,606,378,61.6,0.0,0.0,0.0,43.9,Bilinmiyor
AEP,SHORT,sp500_genel,50.0,5573,984,310,991,3158,1114,62.2,23.8,21.8,22.8,36.4,273,682,24,5,30.2,28.6,98.2,44.3,45.7,Bilinmiyor
AES,LONG,sp500_genel,50.0,5573,984,0,0,3765,1808,67.6,0.0,0.0,0.0,62.4,0,0,684,300,69.5,0.0,0.0,0.0,33.0,Bilinmiyor
AES,SHORT,sp500_genel,50.0,5573,984,301,629,3368,1275,65.8,32.4,19.1,24.0,73.9,307,585,89,3,40.2,34.4,99.0,51.1,77.7,Bilinmiyor
AFL,LONG,sp500_genel,50.0,5573,984,0,0,3660,1913,65.7,0.0,0.0,0.0,60.4,0,0,596,388,60.6,0.0,0.0,0.0,57.7,Bilinmiyor
AFL,SHORT,sp500_genel,50.0,5573,984,380,907,3202,1084,64.3,29.5,26.0,27.6,50.2,190,755,23,16,21.6,20.1,92.2,33.0,58.3,Bilinmiyor
AIG,LONG,sp500_genel,50.0,5573,984,0,0,3709,1864,66.6,0.0,0.0,0.0,65.1,0,0,596,388,60.6,0.0,0.0,0.0,36.9,Bilinmiyor
AIG,SHORT,sp500_genel,50.0,5573,984,453,756,3074,1290,63.3,37.5,26.0,30.7,64.0,229,689,54,12,28.8,24.9,95.0,39.5,57.3,Bilinmiyor
AIZ,LONG,sp500_genel,50.0,4700,830,0,0,2907,1793,61.9,0.0,0.0,0.0,52.3,0,0,513,317,61.8,0.0,0.0,0.0,66.2,Bilinmiyor
AIZ,SHORT,sp500_genel,50.0,4700,830,191,531,2984,994,67.6,26.5,16.1,20.0,68.9,208,569,47,6,30.7,26.8,97.2,42.0,68.7,Bilinmiyor
AJG,LONG,sp500_genel,50.0,5573,984,0,0,3444,2129,61.8,0.0,0.0,0.0,59.4,0,0,597,387,60.7,0.0,0.0,0.0,61.2,Bilinmiyor
AJG,SHORT,sp500_genel,50.0,5573,984,451,826,3220,1076,65.9,35.3,29.5,32.2,46.0,215,651,76,42,29.6,24.8,83.7,38.3,48.2,Bilinmiyor
AKAM,LONG,sp500_genel,50.0,5573,984,0,0,3734,1839,67.0,0.0,0.0,0.0,67.9,0,0,680,304,69.1,0.0,0.0,0.0,56.9,Bilinmiyor
AKAM,SHORT,sp500_genel,50.0,5573,984,164,316,3822,1271,71.5,34.2,11.4,17.1,73.2,262,638,65,19,33.2,29.1,93.2,44.4,71.5,Bilinmiyor
ALB,LONG,sp500_genel,50.0,5573,984,0,0,3531,2042,63.4,0.0,0.0,0.0,56.4,0,0,644,340,65.4,0.0,0.0,0.0,50.0,Bilinmiyor
ALB,SHORT,sp500_genel,50.0,5573,984,289,838,3313,1133,64.6,25.6,20.3,22.7,49.9,284,465,219,16,51.1,37.9,94.7,54.1,92.7,Bilinmiyor
ALGN,LONG,sp500_genel,50.0,5343,943,0,0,3472,1871,65.0,0.0,0.0,0.0,62.4,0,0,631,312,66.9,0.0,0.0,0.0,39.1,Bilinmiyor
ALGN,SHORT,sp500_genel,50.0,5343,943,188,277,3771,1107,74.1,40.4,14.5,21.4,72.3,232,584,114,13,36.7,28.4,94.7,43.7,76.7,Bilinmiyor
ALL,LONG,sp500_genel,50.0,5573,984,0,0,3541,2032,63.5,0.0,0.0,0.0,58.2,0,0,619,365,62.9,0.0,0.0,0.0,45.5,Bilinmiyor
ALL,SHORT,sp500_genel,50.0,5573,984,447,915,3098,1113,63.6,32.8,28.7,30.6,50.9,234,707,41,2,27.9,24.9,99.2,39.8,62.7,Bilinmiyor
ALLE,LONG,sp500_genel,50.0,2606,460,0,0,1663,943,63.8,0.0,0.0,0.0,53.0,0,0,309,151,67.2,0.0,0.0,0.0,50.3,Bilinmiyor
ALLE,SHORT,sp500_genel,50.0,2606,460,277,748,1176,405,55.8,27.0,40.6,32.5,45.0,105,310,38,7,31.1,25.3,93.8,39.8,51.8,Bilinmiyor
AMAT,LONG,sp500_genel,50.0,5573,984,0,0,3681,1892,66.1,0.0,0.0,0.0,68.1,0,0,625,359,63.5,0.0,0.0,0.0,50.4,Bilinmiyor
AMAT,SHORT,sp500_genel,50.0,5573,984,232,600,3540,1201,67.7,27.9,16.2,20.5,62.4,225,624,128,7,35.9,26.5,97.0,41.6,72.0,Bilinmiyor
AMCR,LONG,sp500_genel,50.0,2929,517,0,0,1764,1165,60.2,0.0,0.0,0.0,54.8,0,0,377,140,72.9,0.0,0.0,0.0,55.0,Bilinmiyor
AMCR,SHORT,sp500_genel,50.0,2929,517,339,655,1459,476,61.4,34.1,41.6,37.5,51.3,150,320,37,10,36.2,31.9,93.8,47.6,52.5,Bilinmiyor
AMD,LONG,sp500_genel,50.0,5573,984,0,0,3790,1783,68.0,0.0,0.0,0.0,55.1,0,0,622,362,63.2,0.0,0.0,0.0,46.1,Bilinmiyor
AMD,SHORT,sp500_genel,50.0,5573,984,88,228,4114,1143,75.4,27.8,7.1,11.4,73.9,150,589,220,25,37.6,20.3,85.7,32.8,81.7,Bilinmiyor
AME,LONG,sp500_genel,50.0,5573,984,0,0,3418,2155,61.3,0.0,0.0,0.0,60.2,0,0,623,361,63.3,0.0,0.0,0.0,48.2,Bilinmiyor
AME,SHORT,sp500_genel,50.0,5573,984,363,933,3238,1039,64.6,28.0,25.9,26.9,41.5,231,722,27,4,26.2,24.2,98.3,38.9,79.1,Bilinmiyor
AMGN,LONG,sp500_genel,50.0,5573,984,0,0,3698,1875,66.4,0.0,0.0,0.0,50.8,0,0,640,344,65.0,0.0,0.0,0.0,41.6,Bilinmiyor
AMGN,SHORT,sp500_genel,50.0,5573,984,376,812,3133,1252,63.0,31.6,23.1,26.7,40.0,260,668,40,16,30.5,28.0,94.2,43.2,49.6,Bilinmiyor
AMP,LONG,sp500_genel,50.0,4355,769,0,0,2672,1683,61.4,0.0,0.0,0.0,62.4,0,0,494,275,64.2,0.0,0.0,0.0,39.3,Bilinmiyor
AMP,SHORT,sp500_genel,50.0,4355,769,274,466,2710,905,68.5,37.0,23.2,28.6,74.8,197,498,65,9,34.1,28.3,95.6,43.7,58.3,Bilinmiyor
AMT,LONG,sp500_genel,50.0,5573,984,0,0,3531,2042,63.4,0.0,0.0,0.0,66.6,0,0,654,330,66.5,0.0,0.0,0.0,38.5,Bilinmiyor
AMT,SHORT,sp500_genel,50.0,5573,984,316,609,3449,1199,67.6,34.2,20.9,25.9,67.9,304,634,25,21,33.4,32.4,93.5,48.1,45.5,Bilinmiyor
AMZN,LONG,sp500_genel,50.0,5573,984,0,0,3411,2162,61.2,0.0,0.0,0.0,61.4,0,0,605,379,61.5,0.0,0.0,0.0,48.0,Bilinmiyor
