Tarih,Sembol,Yön,Giris Fiyati,Cikis Fiyati,Adet,P&L (USD),P&L (%),Kapanis Sebebi,Giris Nedenleri
2026-05-26 17:56:44,AAPL,LONG,311.2,311.11,16,-16.38,-0.33,AI ÖZGÜVEN KAYBI,"AI:%53.71 | Yapay Zeka Long Olasilik: %53.71, Yapay Zeka Short Olasilik: %52.04"
2026-05-26 17:56:49,ANET,LONG,158.4,158.6,12,-3.31,-0.17,AI ÖZGÜVEN KAYBI,"AI:%53.53 | Yapay Zeka Long Olasilik: %53.53, Yapay Zeka Short Olasilik: %51.36"
2026-05-26 17:56:54,ACGL,SHORT,95.84,95.8,1,-0.27,-0.28,AI ÖZGÜVEN KAYBI,"AI:%51.51 | Yapay Zeka Long Olasilik: %51.51, Yapay Zeka Short Olasilik: %52.56"
2026-05-26 17:56:59,PRU,SHORT,103.05,102.96,66,-15.94,-0.23,AI ÖZGÜVEN KAYBI,"AI:%51.47 | Yapay Zeka Long Olasilik: %51.47, Yapay Zeka Short Olasilik: %52.35"
2026-05-26 17:57:02,LUV,LONG,42.26,42.13,4,-1.03,-0.61,STOP-LOSS,"AI:%51.38 | Yapay Zeka Long Olasilik: %51.38, Yapay Zeka Short Olasilik: %50.97"
2026-05-26 18:28:40,VRSN,LONG,309.65,309.97,22,-13.41,-0.2,AI ÖZGÜVEN KAYBI,"AI:%54.01 | Yapay Zeka Long Olasilik: %54.01, Yapay Zeka Short Olasilik: %52.97"
2026-05-26 18:28:46,MRK,SHORT,120.81,120.76,1,-0.34,-0.28,AI ÖZGÜVEN KAYBI,"AI:%50.17 | Yapay Zeka Long Olasilik: %50.17, Yapay Zeka Short Olasilik: %51.60"
2026-05-26 18:28:47,VTRS,LONG,16.53,16.48,3,-0.3,-0.6,STOP-LOSS,"AI:%51.5 | Yapay Zeka Long Olasilik: %51.50, Yapay Zeka Short Olasilik: %50.65"
2026-05-26 18:52:47,AKAM,LONG,147.51,147.8,47,-7.19,-0.1,AI ÖZGÜVEN KAYBI,"AI:%53.43 | Yapay Zeka Long Olasilik: %53.43, Yapay Zeka Short Olasilik: %50.97"
2026-05-26 19:16:35,IT,LONG,159.65,159.12,16,-16.13,-0.63,STOP-LOSS,"AI:%53.81 | Yapay Zeka Long Olasilik: %53.81, Yapay Zeka Short Olasilik: %52.50"
2026-05-26 19:16:41,CAH,LONG,200.51,201.22,22,2.36,0.05,AI ÖZGÜVEN KAYBI,"AI:%51.54 | Yapay Zeka Long Olasilik: %51.54, Yapay Zeka Short Olasilik: %49.84"
