Sembol,Yon,Giris_Tarihi,Giris_Fiyati,Cikis_Tarihi,Cikis_Fiyati,Adet,Hacim_USD,P&L_USD,P&L_Pct,Sebep,Elde_Tutma_Gun
JNJ,LONG,2024-08-05,152.3551788330078,2024-08-12,151.0607452392578,13,1980.6173248291016,-16.82763671875,-0.8496157489787675,AI REVERSAL SİNYALİ (SHORT %100.0),5
UNH,LONG,2024-08-05,547.9181518554688,2024-08-12,543.4286499023438,3,1643.7544555664062,-13.468505859375,-0.8193745613139045,AI REVERSAL SİNYALİ (SHORT %100.0),5
ABBV,LONG,2024-08-05,173.86737060546875,2024-08-12,179.3561248779297,11,1912.5410766601562,60.37629699707031,3.1568627588644835,AI REVERSAL SİNYALİ (SHORT %100.0),5
AMZN,SHORT,2024-08-05,161.02000427246094,2024-08-15,174.86000061035156,12,1932.2400512695312,-169.4699560546875,-8.770647101706714,STOP-LOSS SHORT,8
TSLA,SHORT,2024-08-05,198.8800048828125,2024-08-15,213.3,10,1988.800048828125,-147.68995117187512,-7.426083444582552,STOP-LOSS SHORT,8
JNJ,LONG,2024-09-09,158.61434936523438,2024-09-10,159.347412109375,12,1903.3721923828125,8.7967529296875,0.4621667251886733,AI REVERSAL SİNYALİ (SHORT %100.0),1
UNH,LONG,2024-09-09,571.12451171875,2024-09-10,575.8638916015625,3,1713.37353515625,14.2181396484375,0.8298330373791426,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2024-09-09,185.24098205566406,2024-09-10,188.00424194335938,10,1852.4098205566406,27.632598876953125,1.4917108822414715,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2024-09-09,897.0110473632812,2024-09-10,890.0779418945312,2,1794.0220947265625,-13.8662109375,-0.7729119378328186,AI REVERSAL SİNYALİ (SHORT %100.0),1
TMO,LONG,2024-09-09,616.7724609375,2024-09-10,620.5402221679688,3,1850.3173828125,11.30328369140625,0.6108835055219095,AI REVERSAL SİNYALİ (SHORT %100.0),1
JNJ,LONG,2024-10-08,152.0264434814453,2024-10-09,152.94036865234375,12,1824.3173217773438,10.96710205078125,0.601161975488811,AI REVERSAL SİNYALİ (SHORT %100.0),1
UNH,LONG,2024-10-08,561.0711669921875,2024-10-09,570.3712158203125,3,1683.2135009765625,27.900146484375,1.6575524416948868,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2024-10-08,182.0250701904297,2024-10-09,183.66604614257812,10,1820.2507019042969,16.409759521484375,0.901510956942191,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2024-10-08,902.3933715820312,2024-10-09,908.3388061523438,2,1804.7867431640625,11.890869140625,0.6588517555142565,AI REVERSAL SİNYALİ (SHORT %100.0),1
TMO,LONG,2024-10-08,592.3253173828125,2024-10-09,596.1054077148438,3,1776.9759521484375,11.34027099609375,0.6381780790214349,AI REVERSAL SİNYALİ (SHORT %100.0),1
JNJ,LONG,2024-11-01,152.44532775878906,2024-11-04,150.64602661132812,12,1829.3439331054688,-21.59161376953125,-1.1802927475140024,AI REVERSAL SİNYALİ (SHORT %100.0),1
UNH,LONG,2024-11-01,547.5455932617188,2024-11-04,538.1007690429688,3,1642.6367797851562,-28.33447265625,-1.724938404213494,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2024-11-01,193.49815368652344,2024-11-04,190.57025146484375,10,1934.9815368652344,-29.279022216796875,-1.5131422010480957,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2024-11-01,808.7785034179688,2024-11-04,796.1470336914062,2,1617.5570068359375,-25.262939453125,-1.5617959272137927,AI REVERSAL SİNYALİ (SHORT %100.0),1
TSLA,SHORT,2024-12-20,421.05999755859375,2024-12-24,457.73,4,1684.239990234375,-147.42000976562508,-8.75290995466213,STOP-LOSS SHORT,2
AMZN,SHORT,2024-12-20,224.9199981689453,2025-01-06,228.02,8,1799.3599853515625,-28.350014648437583,-1.5755610260999828,STOP-LOSS SHORT,9
JNJ,LONG,2025-03-05,159.72555541992188,2025-03-06,160.412353515625,11,1756.9811096191406,7.554779052734375,0.42998635622052983,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2025-03-05,202.9899139404297,2025-03-06,202.23184204101562,9,1826.9092254638672,-6.8226470947265625,-0.3734529882290258,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2025-03-05,921.3008422851562,2025-03-06,904.4944458007812,2,1842.6016845703125,-33.61279296875,-1.824202878474431,AI REVERSAL SİNYALİ (SHORT %100.0),1
TSLA,SHORT,2025-03-05,279.1000061035156,2025-03-10,252.5399932861328,6,1674.6000366210938,158.26007690429688,9.450619457982604,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),3
ABBV,LONG,2025-03-07,205.6287841796875,2025-03-10,201.29,9,1850.6590576171875,-39.0490576171876,-2.110008186352009,KARLA_STOP_OLDU (Step-Up Trailing Stop),1
JNJ,LONG,2025-03-07,161.24427795410156,2025-03-12,157.69,11,1773.6870574951172,-39.09705749511727,-2.2042816025467276,STOP-LOSS,3
ABBV,LONG,2025-03-10,207.90298461914062,2025-03-12,200.97,9,1871.1268615722656,-62.39686157226561,-3.3347210632118727,STOP-LOSS,2
HD,SHORT,2025-03-07,365.19287109375,2025-03-13,352.98754357643656,5,1825.96435546875,59.426637586567175,3.2545343729511926,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),4
JNJ,LONG,2025-03-12,157.52972412109375,2025-03-17,157.52005004882812,11,1732.8269653320312,-0.106414794921875,-0.0061411091269280085,AI REVERSAL SİNYALİ (SHORT %100.0),3
ABBV,LONG,2025-03-12,203.48890686035156,2025-03-17,205.80149841308594,9,1831.400161743164,20.813323974609375,1.136470576413995,AI REVERSAL SİNYALİ (SHORT %100.0),3
TSLA,SHORT,2025-03-10,222.14999389648438,2025-03-24,258.0799865722656,8,1777.199951171875,-291.33994140625,-16.393199944336153,STOP-LOSS SHORT,10
HD,SHORT,2025-03-13,338.68896484375,2025-03-24,354.12,5,1693.44482421875,-79.75517578125002,-4.709641237826812,STOP-LOSS SHORT,7
AMZN,SHORT,2025-03-07,199.25,2025-03-25,204.23,9,1793.25,-49.53999999999991,-2.7625819043635804,STOP-LOSS SHORT,12
AMZN,SHORT,2025-04-04,171.0,2025-04-07,182.74071284702845,10,1710.0,-117.77712847028448,-6.887551372531256,STOP-LOSS SHORT,1
ABBV,LONG,2025-04-04,179.40341186523438,2025-04-07,170.70035102344048,10,1794.0341186523438,-87.03060841793899,-4.851112223178638,STOP-LOSS,1
HD,SHORT,2025-04-04,345.1749572753906,2025-04-08,341.7417598509406,5,1725.8747863769531,16.405987122250213,0.9505896517956858,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),2
AMZN,SHORT,2025-04-07,175.25999450683594,2025-04-08,185.22999572753906,10,1752.5999450683594,-100.08001220703125,-5.710374035366506,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),1
ABBV,LONG,2025-04-07,179.00997924804688,2025-04-08,169.3805783149915,10,1790.0997924804688,-96.29400933055376,-5.379253700550574,STOP-LOSS,1
TSLA,SHORT,2025-04-04,239.42999267578125,2025-04-09,252.24,7,1676.0099487304688,-90.77005126953131,-5.415842032339194,STOP-LOSS SHORT,3
KO,LONG,2025-04-07,66.44387817382812,2025-04-09,65.65,27,1793.9847106933594,-21.434710693359193,-1.1948101098963584,KARLA_STOP_OLDU (Step-Up Trailing Stop),2
AMZN,SHORT,2025-04-08,170.66000366210938,2025-04-09,185.5067868913923,10,1706.6000366210938,-148.8378322928292,-8.721307224832481,STOP-LOSS SHORT,1
UNH,LONG,2025-04-08,537.911865234375,2025-04-09,544.7782397073023,3,1613.735595703125,20.5991234187818,1.2764868962196065,KARLA_STOP_OLDU (Step-Up Trailing Stop),1
HD,SHORT,2025-04-08,326.9750061035156,2025-04-09,344.22713994578595,5,1634.8750305175781,-86.62066921135163,-5.298305227888199,STOP-LOSS SHORT,1
UNH,LONG,2025-04-09,562.6347045898438,2025-04-17,468.73255156103386,3,1687.9041137695312,-281.70645908642973,-16.689719326372487,STOP-LOSS,6
AMZN,SHORT,2025-04-09,191.10000610351562,2025-04-23,183.4499969482422,8,1528.800048828125,58.1800732421875,3.805603832023973,STOP-LOSS SHORT,9
TSLA,SHORT,2025-04-09,272.20001220703125,2025-04-23,254.86000061035156,6,1633.2000732421875,100.82006958007813,6.173160975919666,STOP-LOSS SHORT,9
KO,LONG,2025-04-09,67.97936248779297,2025-04-25,70.0,24,1631.5046997070312,48.49530029296875,2.9724278637798003,STOP-LOSS,11
TSLA,SHORT,2025-04-23,250.74000549316406,2025-04-25,286.56,6,1504.4400329589844,-215.57996704101564,-14.329581925376283,STOP-LOSS SHORT,2
HD,SHORT,2025-04-09,346.6282653808594,2025-05-01,349.46649169921875,4,1386.5130615234375,-15.912905273437499,-1.1476924174052223,TIME BARRIER (15 Gün Zaman Aşımı),15
ABBV,LONG,2025-04-25,180.18975830078125,2025-05-06,184.28,8,1441.51806640625,32.72193359375001,2.269963475055628,STOP-LOSS,7
JNJ,LONG,2025-04-17,152.32546997070312,2025-05-09,149.18165588378906,11,1675.5801696777344,-34.58195495605469,-2.0638794598951278,TIME BARRIER (15 Gün Zaman Aşımı),15
AMZN,SHORT,2025-04-23,180.60000610351562,2025-05-12,210.7100067138672,9,1625.4000549316406,-275.62000549316406,-16.95705648937952,STOP-LOSS SHORT,13
TSLA,SHORT,2025-04-25,284.95001220703125,2025-05-12,321.989990234375,5,1424.7500610351562,-188.63989013671875,-13.240209303775142,STOP-LOSS SHORT,11
HD,SHORT,2025-05-01,349.46649169921875,2025-05-12,365.7547758320617,4,1397.865966796875,-67.29313653137173,-4.813990620686607,STOP-LOSS SHORT,7
ABBV,LONG,2025-05-06,181.245361328125,2025-05-12,184.07325744628906,9,1631.208251953125,25.451065063476562,1.5602584791367236,AI REVERSAL SİNYALİ (SHORT %100.0),4
MRK,LONG,2025-05-09,73.30701446533203,2025-05-12,77.61067199707031,21,1539.4473037719727,90.3768081665039,5.870730874974515,AI REVERSAL SİNYALİ (SHORT %100.0),1
JNJ,LONG,2025-05-27,149.51422119140625,2025-05-28,148.71420288085938,10,1495.1422119140625,-8.00018310546875,-0.5350784053663373,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2025-05-27,179.86048889160156,2025-05-28,177.31346130371094,8,1438.8839111328125,-20.376220703125,-1.4161129014975988,AI REVERSAL SİNYALİ (SHORT %100.0),1
