Tarih,Sembol,Yön,Giris Fiyati,Cikis Fiyati,Adet,P&L (USD),P&L (%),Kapanis Sebebi
2026-05-21 23:24:49,AAPL,LONG,305.09,305.09,202,0.0,0.0,ERKEN ÇIKIŞ (Skor<40)
2026-05-21 23:49:53,AAPL,LONG,305.09,305.09,202,0.0,0.0,ERKEN ÇIKIŞ (Skor<40)
2026-05-22 00:40:05,AAPL,LONG,305.09,305.09,32,0.0,0.0,ERKEN ÇIKIŞ (Skor<40)
2026-05-22 17:01:55,AAPL,LONG,305.09,307.06,32,63.04,0.65,TAKE-PROFIT
2026-05-22 22:26:13,AAPL,LONG,309.92,308.92,32,-61.7,-0.62,AI ÖZGÜVEN KAYBI
2026-05-22 22:27:17,AAPL,LONG,308.92,308.92,32,-29.66,-0.3,AI ÖZGÜVEN KAYBI
2026-05-22 22:33:53,AAPL,LONG,308.92,308.92,32,-29.66,-0.3,AI ÖZGÜVEN KAYBI
2026-05-22 23:14:15,AAPL,LONG,308.92,308.04,32,-57.77,-0.58,STOP-LOSS
2026-05-23 00:23:41,AAPL,LONG,308.88,308.88,32,-29.65,-0.3,AI REVERSAL SİNYALİ (SHORT %53.7)
2026-05-23 11:21:09,AAPL,LONG,308.88,308.88,31,-28.73,-0.3,AI ÖZGÜVEN KAYBI
