Sembol,Yon,Giris_Tarihi,Cikis_Tarihi,Adet,Giris_Fiyati,Cikis_Fiyati,Hedef_Fiyati,Stop_Fiyati,P&L_USD,Sebep,Elde_Tutma_Gun
V,LONG,2024-05-28,2024-06-07,9,266.9159851074219,275.2004322338769,275.2004322338769,258.63153798096687,74.56002413809529,✅ Take-Profit (Mekanik),8
V,LONG,2024-06-07,2024-06-12,9,274.4906005859375,266.1479889282066,282.8332122436684,266.1479889282066,-75.08350491957844,🛑 Stop-Loss (Mekanik),3
JPM,LONG,2024-05-28,2024-06-20,23,191.25848388671875,190.4627685546875,199.71207218183932,182.80489559159818,-18.30145263671875,ZAMAN AŞIMI,16
V,LONG,2024-06-12,2024-06-24,9,266.2658386230469,275.85728224508614,275.85728224508614,256.6743950010076,86.32299259835327,✅ Take-Profit (Mekanik),7
V,LONG,2024-06-24,2024-06-27,10,272.1561584472656,262.9411356859042,281.37118120862704,262.9411356859042,-92.15022761361433,🛑 Stop-Loss (Mekanik),3
JPM,LONG,2024-06-20,2024-07-02,22,190.4627685546875,199.49498282315918,199.49498282315918,181.43055428621582,198.70871390637694,✅ Take-Profit (Mekanik),8
JPM,LONG,2024-07-02,2024-07-17,22,200.2030792236328,208.6720767669451,208.6720767669451,191.73408168032051,186.317945952871,✅ Take-Profit (Mekanik),10
V,LONG,2024-06-27,2024-07-22,10,262.5918273925781,263.69500732421875,272.6071567967585,252.57649798839776,11.03179931640625,ZAMAN AŞIMI,16
V,LONG,2024-07-22,2024-07-24,11,263.69500732421875,253.12911227017275,274.26090237826475,253.12911227017275,-116.22484559450595,🛑 Stop-Loss (Mekanik),2
V,LONG,2024-07-24,2024-07-31,11,250.35809326171875,262.3452013309184,262.3452013309184,238.37098519251907,131.8581887611963,✅ Take-Profit (Mekanik),5
JPM,LONG,2024-07-17,2024-08-01,21,209.06295776367188,199.4985791671737,218.62733636017006,199.4985791671737,-200.85195052646213,🛑 Stop-Loss (Mekanik),11
JPM,LONG,2024-08-01,2024-08-05,19,200.47372436523438,189.78708482342174,211.160363907047,189.78708482342174,-203.04615129444028,🛑 Stop-Loss (Mekanik),2
JPM,LONG,2024-08-05,2024-08-13,16,187.8838653564453,199.77206493974376,199.77206493974376,175.99566577314687,190.2111933327751,✅ Take-Profit (Mekanik),6
V,LONG,2024-07-31,2024-08-22,11,261.6856384277344,264.45086669921875,274.1037111842697,249.26756567119907,30.417510986328125,ZAMAN AŞIMI,16
JPM,LONG,2024-08-13,2024-08-28,15,200.45443725585938,213.11729345838756,213.11729345838756,187.79158105333119,189.942843037923,✅ Take-Profit (Mekanik),11
V,LONG,2024-08-22,2024-09-03,15,264.45086669921875,274.2989715551649,274.2989715551649,254.60276184327265,147.72157283919205,✅ Take-Profit (Mekanik),7
JPM,LONG,2024-08-28,2024-09-06,16,213.32383728027344,206.98725151159124,219.66042304895564,206.98725151159124,-101.38537229891517,🛑 Stop-Loss (Mekanik),6
JPM,LONG,2024-09-06,2024-09-10,16,204.81170654296875,196.60564803228272,213.01776505365478,196.60564803228272,-131.29693617097655,🛑 Stop-Loss (Mekanik),2
V,LONG,2024-09-03,2024-09-13,15,274.9128112792969,284.0176587603426,284.0176587603426,265.80796379825114,136.5727122156859,✅ Take-Profit (Mekanik),8
V,LONG,2024-09-13,2024-09-24,15,283.60809326171875,272.86237778805474,294.35380873538276,272.86237778805474,-161.18573210496015,🛑 Stop-Loss (Mekanik),7
JPM,LONG,2024-09-10,2024-10-02,16,198.1601104736328,199.82781982421875,209.75566576671835,186.56455518054727,26.683349609375,ZAMAN AŞIMI,16
JPM,LONG,2024-10-02,2024-10-11,16,199.82781982421875,208.36094809119712,208.36094809119712,191.29469155724038,136.53005227165386,✅ Take-Profit (Mekanik),7
V,LONG,2024-09-24,2024-10-16,15,269.227783203125,282.49558588607516,282.49558588607516,255.95998052017484,199.0170402442527,✅ Take-Profit (Mekanik),16
JPM,LONG,2024-10-11,2024-11-04,15,215.6009979248047,213.1665496826172,226.45805818203507,204.7439376675743,-36.5167236328125,ZAMAN AŞIMI,16
V,LONG,2024-10-16,2024-11-06,15,283.77581787109375,293.17854249337535,293.17854249337535,274.37309324881215,141.04086933422423,✅ Take-Profit (Mekanik),15
JPM,LONG,2024-11-04,2024-11-06,15,213.1665496826172,221.84030105913692,221.84030105913692,204.49279830609746,130.106270647796,✅ Take-Profit (Mekanik),2
JPM,LONG,2024-11-06,2024-11-29,17,239.6256561279297,242.20559692382812,252.37129077115193,226.88002148470744,43.85899353027344,ZAMAN AŞIMI,16
V,LONG,2024-11-06,2024-11-29,12,303.39691162109375,311.5681457519531,316.49551696301376,290.29830627917374,98.0548095703125,ZAMAN AŞIMI,16
JPM,LONG,2024-11-29,2024-12-16,21,242.20559692382812,231.92456433993212,252.48662950772413,231.92456433993212,-215.90168426181572,🛑 Stop-Loss (Mekanik),11
JPM,LONG,2024-12-16,2024-12-18,21,232.37074279785156,223.96023861952236,240.78124697618077,223.96023861952236,-176.62058774491288,🛑 Stop-Loss (Mekanik),2
V,LONG,2024-11-29,2024-12-23,9,311.5681457519531,313.684326171875,321.32978203289474,301.8065094710115,19.045623779296875,ZAMAN AŞIMI,16
JPM,LONG,2024-12-18,2024-12-24,21,223.43785095214844,233.13175249273186,233.13175249273186,213.743949411565,203.57193235225168,✅ Take-Profit (Mekanik),4
V,LONG,2024-12-23,2025-01-13,9,313.684326171875,301.3642605853793,326.0043917583707,301.3642605853793,-110.88059027846111,🛑 Stop-Loss (Mekanik),12
JPM,LONG,2024-12-24,2025-01-15,20,235.01858520507812,245.8174912868949,245.8174912868949,224.21967912326136,215.97812163633535,✅ Take-Profit (Mekanik),13
V,LONG,2025-01-13,2025-01-16,10,303.4991455078125,314.6537910132122,314.6537910132122,292.3445000024128,111.54645505399685,✅ Take-Profit (Mekanik),3
JPM,LONG,2025-01-15,2025-01-21,19,246.02056884765625,257.2270845724991,257.2270845724991,234.8140531228134,212.92379877201438,✅ Take-Profit (Mekanik),3
V,LONG,2025-01-16,2025-01-23,10,313.7139892578125,324.53489261542603,324.53489261542603,302.89308590019897,108.20903357613543,✅ Take-Profit (Mekanik),4
V,LONG,2025-01-23,2025-01-30,12,324.55181884765625,335.9589582346314,335.9589582346314,313.1446794606811,136.88567264370158,✅ Take-Profit (Mekanik),5
JPM,LONG,2025-01-21,2025-02-06,17,256.4326477050781,269.1034447320566,269.1034447320566,243.76185067809968,215.40354945863328,✅ Take-Profit (Mekanik),12
V,LONG,2025-01-30,2025-02-13,12,339.2264099121094,351.4546447957301,351.4546447957301,326.9981750284887,146.73881860344864,✅ Take-Profit (Mekanik),10
JPM,LONG,2025-02-06,2025-02-20,17,269.95477294921875,259.1923642918974,280.7171816065401,259.1923642918974,-182.9609471744634,🛑 Stop-Loss (Mekanik),9
JPM,LONG,2025-02-20,2025-02-25,17,260.10809326171875,248.0330227197402,272.1831638036973,248.0330227197402,-205.27619921363566,🛑 Stop-Loss (Mekanik),3
V,LONG,2025-02-13,2025-03-06,12,352.2579650878906,339.0062365154845,365.50969366029676,339.0062365154845,-159.02074286887364,🛑 Stop-Loss (Mekanik),14
JPM,LONG,2025-02-25,2025-03-07,16,250.9438934326172,236.94684418443632,264.94094268079806,236.94684418443632,-223.95278797089395,🛑 Stop-Loss (Mekanik),8
V,LONG,2025-03-06,2025-03-13,12,340.8966979980469,324.6928825321128,357.100513463981,324.6928825321128,-194.4457855912092,🛑 Stop-Loss (Mekanik),5
AAPL,SHORT,2025-03-10,2025-03-13,5,226.2843780517578,210.2388006894463,210.2388006894463,242.32995541406933,80.2278868115576,✅ Take-Profit SHORT (Mekanik),3
JPM,LONG,2025-03-07,2025-03-31,12,236.20314025878906,239.1473846435547,254.47242751030817,217.93385300726996,35.3309326171875,ZAMAN AŞIMI,16
AAPL,SHORT,2025-03-13,2025-04-04,11,208.57791137695312,189.58007743807119,189.58007743807119,227.57574531583506,208.97617332770133,✅ Take-Profit SHORT (Mekanik),16
MSFT,SHORT,2025-03-13,2025-04-04,7,375.0799560546875,356.3343811035156,348.7727167730889,401.3871953362861,131.21902465820312,ZAMAN AŞIMI,16
NVDA,SHORT,2025-03-13,2025-04-04,2,115.55277252197266,95.8393884348323,95.8393884348323,135.266156609113,39.42676817428071,✅ Take-Profit SHORT (Mekanik),16
AAPL,SHORT,2025-04-04,2025-04-08,12,187.38987731933594,169.3121752214775,169.3121752214775,205.46757941719437,216.93242517430122,✅ Take-Profit SHORT (Mekanik),2
MSFT,SHORT,2025-04-04,2025-04-09,10,356.3343811035156,378.13595871970665,334.5328034873246,378.13595871970665,-218.01577616191025,🛑 Stop-Loss SHORT (Mekanik),3
NVDA,SHORT,2025-04-04,2025-04-09,17,94.28778076171875,107.52930155223957,81.04625997119793,107.52930155223957,-225.105853438854,🛑 Stop-Loss SHORT (Mekanik),3
AAPL,SHORT,2025-04-08,2025-04-09,9,171.5137481689453,195.08564024637496,147.94185609151566,195.08564024637496,-212.14702869686687,🛑 Stop-Loss SHORT (Mekanik),1
MSFT,SHORT,2025-04-09,2025-04-21,6,386.6857604980469,352.95334615928164,352.95334615928164,420.4181748368121,202.39448603259143,✅ Take-Profit SHORT (Mekanik),7
NVDA,SHORT,2025-04-09,2025-04-21,11,114.30307006835938,95.42358981524085,95.42358981524085,133.18255032147792,207.67428278430384,✅ Take-Profit SHORT (Mekanik),7
MSFT,SHORT,2025-04-21,2025-05-01,5,355.6213684082031,395.41028495792943,315.8324518584768,395.41028495792943,-198.94458274863155,🛑 Stop-Loss SHORT (Mekanik),8
AAPL,SHORT,2025-04-09,2025-05-02,7,197.80484008789062,204.27069091796875,170.06745833994464,225.5422218358366,-45.260955810546875,ZAMAN AŞIMI,16
NVDA,SHORT,2025-04-21,2025-05-12,10,96.88717651367188,118.84271490616659,74.93163812117716,118.84271490616659,-219.55538392494717,🛑 Stop-Loss SHORT (Mekanik),15
MSFT,SHORT,2025-05-01,2025-05-15,7,421.2556457519531,452.23832795031586,390.2729635535904,452.23832795031586,-216.87877538853917,🛑 Stop-Loss SHORT (Mekanik),10
JPM,LONG,2025-05-02,2025-05-15,14,247.69285583496094,262.98474728291745,262.98474728291745,232.40096438700445,214.08648027139134,✅ Take-Profit (Mekanik),9
